czy_stwierdzenie,tekst
0,@a_niedzielski Czekam na własne szczepienie od połowy stycznia. Nie znam danych z całej Polski ale w moim szpitalu nie jest zaszczepiona nawet połowa personelu. Grupa zero nie dostaje 1 dawek od ponad miesiąca.
0,#polskaszczepionka #szczepionka #szczepimysie #zaszczepić #zaszczepiona #satyra #humor #karykatura #Novavax #ilustracjaprasowa https://t.co/nG5j5GpdIp
0,"@LukaszBok Tymczasem osoba zaszczepiona zaraziła sie koronawirusem 😂😂😂 a tu jakieś śmieszne ""tylko dla zaszczepionych"" 🤣"
0,"@Maciej_Kaliszuk No i co że woźne?!? Czy ty człowieku dobrze się czujesz?!? Nauka przed igrzyskami, ratujesz pierw inteligencje przed skocznością, szkoły przed kadrą skoczków. Wolę zaszczepioną woźną od zaszczepionego Żyły."
0,@rsvelation Już jestem zaszczepiona dwoma dawkami 🤖
0,Moja matka jest już zaszczepiona i żarty o chipach nie mają końca
0,@szczepimysie Po raz kolejny zapytam... co ze szczepieniami osób 65-70? kiedy ruszą szczepienia? i jaką szczepionką ta grupa zostanie zaszczepiona?
0,@rsvelation Już jestem zaszczepiona
0,"@Rezydenci @a_niedzielski @PanPisula @MZ_GOV_PL PES zdaje za 2 tygodnie, jestem w 20 tygodniu ciąży, sama znam kilkanaście lekarek które podchodzą do egzaminu w ciąży . Ta grupa jest bardzo duża.  Żadna z nas nie jest zaszczepiona.  Egzaminy ustne są często po drugiej stronie Polski. Pan Minister uważa że to bezpieczne ?"
0,"Może moja 80-letnia mama wreszcie zostanie zaszczepiona.
@szczepimysie, kiedy zakończy się szczepienie seniorów?"
0,@rsvelation już zaszczepiona
0,"@tvp_info Bardzo się cieszę, że Janda jest zaszczepiona - to narodowy skarb - w przeciwieństwie do Horały."
0,"Serdeczne podziękować za niezwykle sprawną organizację szczepień🇵🇱
Dziś moja Mama została zaszczepiona drugą dawką. https://t.co/0RUE8GeTVP"
1,"@Rezydenci @a_niedzielski @PanPisula @MZ_GOV_PL Nie, lekarze nie są zaszczepieni. Nie jestem zaszczepiona, tak jak dziesiątki moich kolegów, bo nie ma dla mnie szczepionki, podczas gdy są dla innych grup. Kto zapewni mi bezpieczeństwo na egzaminie i kto poniesie odpowiedzialność, jeśli zachoruję?"
0,"Janda cieszy się, że jest zaszczepiona. ""Nie mam zamiaru już nic tłumaczyć"" https://t.co/aHWJjCoUWE"
1,"@Acromax1 @dgpopiolek @partiarazem Zara, zara, przecież ochrona zdrowia jest zaszczepiona."
0,@rsvelation już jestem zaszczepiona 2 dawkami
0,"Siedzę w domu ,ale jeżdże,oto jest Pytanie?Nie ważne ,że lekarze musieli czekać ponieważ sławna Pani Janda nie mogła stać w kolejce i nikt nie będzie mi s*ać na głowęJanda: Cieszę się, że jestem zaszczepiona. Nie mam zamiaru niczego tłumaczyć https://t.co/ekXUKE9H2v #wieszwiecej"
0,@dominoo94 @Gnoj2013 Już zaszczepiona.
1,"Zakładowa Pani doktor mojej mamy z pracy, jest oczywiście zaszczepiona...skuteczność podanej jej szczepionki to (podobno) 94%...taki pech, że znalazła się w tych 6% i właśnie przechodzi koronawirusa..."
0,@rsvelation już jestem zaszczepiona
0,@Maciej_Kaliszuk W dupie ich mam. Woźna w szkole powinna być zaszczepiona.
0,moja mama będzie zaszczepiona w sobotę!!!!!
0,zaszczepiona ✌🏻 https://t.co/KkMz7H1vf1
0,"@DoRzeczy_pl Tak zaszczepiona, swieza gotowka 💰🤦‍♂️, w zamian za to ze wziela udzial w tej propagandowej ustawce propagujacej ""szczepienia"". 🤮🤷‍♂️"
0,@MZ_GOV_PL Czy to prawda że Ośrodki Zdrowia w Polsce dostają dodatkowe fundusze za każdą zaszczepioną osobę na Covid?
0,"Mama zaszczepiona drugą dawką! :) Jeszcze kilka dni ( oby nie było żadnych NOPów) i przestanę się czuć, niczym potencjalna matkobójczyni :)!"
0,"@MaciejGdynia Absolutnie nie ma powodu.Zostałam zaszczepiona moderną. Ręka w okolicach szczepienia dawała leciutki ból.Pytałam dziś znajomego, nie narzekał.Sąsiadka moja też nie, a ma 91 lat."
0,"@tvp_info Nie jest przypadkiem trochę za poźno? 
Będzie nas to kosztować setki milionów i zaczniemy produkować za kilka miesięcy kiedy zdecydowana większość będzie już zaszczepiona 
No ale ważne, że #polskaszczepionka i pare fajnych stanowisk do obsadzenia"
0,"@Maciej_Kaliszuk Jaka równość. Co ty człowieku pierdolisz. Taka pani woźna nie zostanie zaszczepiona, bo jakiś skoczek ma dostać przed nią? Kobieta zachoruje i może doznać poważnego uszczerbku na zdrowiu, albo i gorzej, pozarażać innych itd. Powiedz czasem tekst to lustra, zanim go napiszesz."
1,"Mieszkanka Japonii zmarła po przyjęciu szczepionki przeciwko #COVID19. 

Jak podano, kobieta była po 60 roku życia i została zaszczepiona preparatem #Pfizer/#BioNTech. Badane są przyczyny jej śmierci. 👇
https://t.co/XLos420MEA"
1,@NoemiWojnicz @a_niedzielski @PawelBorys_ @Grupa_PFR Nie ma sie co oszukiwać cala Europa jest już zaszczepiona praktycznie. Tylko u nas jak zwykle. Dobrze że Minister Sikorski i Premier Tusk wykorzystali konrakty prywatne i udalo im się ściągnąć troche szczepionki pro bono. Brakuje Mężów Stanu na urzędzie
0,mój wujek jest dyrektorem szpitala i w tamtym tygodniu zaszczepiona pielęgniarka zachorowała na wirusaxd
0,@gfkot @Baska1004 No i Janda zaszczepiona !!!
1,@T_Stanislawski Na Wielkanoc zamkna cmentarze ale koscioly nie bo wiekszosc jest zaszczepiona
0,"@GmtzEmilia Jak uchwalali podwyżki, podatki i dodatkowe oplaty w styczniu, to media wepchnęły ludziom do głów Jandę zaszczepioną poza kolejnością, a trzeba było patrzeć gdzie trzeba. W tym roku nie tylko za prąd będziemy płacić więcej."
0,"@kamazw @tw_wolfgang @CzarnekP 1/2 Posiłki roznoszone są na różnych oddziałach przez tę samą panią. Salowa w tych samych rękawiczkach obrabia wszystkie sale. Oczywiście nie jest zaszczepiona, bo słyszała, że ktoś słyszał, że inny zaszczepił się przeciwko grypie i bardzo to odchorował 😒"
0,"@FModrzejewski @Maciej_Kaliszuk Ja uważam, że zaszczepiona powinna być wcześniej Świątek, teraz skoczkowie, później sportowcy udający się na igrzyska i piłkarze przed EURO.

Nauczyciele to oczywiście ważniejsza grupa społecznie. Ale  wykładowcy, który i tak do października będą pracować online?"
0,"@falstafiku Pisowska wierchuszka zaszczepiona. Wychodzą więc po cichu z założenie że umrze kto ma umrzeć, jak Bóg da, a reszta nabędzie odpornisci. Tylko nie mają odwagi tego ogłosić."
0,"Wieści LGBT: Nowa Sarzyna nie jest już ""wolna od ideologii LGBT."" Parlament Europejski LGBT strefy, Opiekun psów Lady Gagi, Dolly Parton zaszczepiona, Nowoczesna uchylić zakaz obrazę uczuć religijnych z kodeksu karnego ... https://t.co/Ix4uEUhmGR"
0,"@PawelBorys_ @szczepimysie @Grupa_PFR Niby fajnie, ale jak ta produkcja ruszy to już będzie pozamiatane, większość osób zaszczepiona 😜"
0,"moja mama jak poszla sie zapytac o to, to sie dowiedziala ze grupa zero dalej nie jest zaszczepiona, szczepia po 6 osob dziennie, ewentualnie w jednym szpitalu idzie to troche sprawniej, takze jak w takim tempie to idzie to XD"
0,"@KLubnauer @MZ_GOV_PL @barbaraanowacka @Mlodzi_N @Nowoczesna @adamSzlapka @MiroslawSuchon @Dariusz_Jonski @KO_Obywatelska @inicjatywaPL @moanrosa Moja ciocia nauczycielka na zdalnym zaszczepiona, brak kontaktu z uczniami, siedzi w domu, ja fizjoterapeuta 13 pacjentow dziennie w gabinecie pół metra odstępu czasem mniej podczas zabiegu manualnego, 3 razy odwołany termin szczepienia, do tej pory nie zaszczepiony, PATOLOGIA"
0,"@igras_igras Nawet nie poczułam ukłucia. Podejrzewałam nawet, że nie zostałam zaszczepiona, bo nic się nie działo 😎 Dopiero dziś stan podgorączkowy i nic więcej. To po astrze."
0,"@czesio_sl Pytałem czy masz małe dzieci żeby móc stwierdzić czy maseczki i cała ta otoczka z nimi powiązana nie szkodzą psychicznie dzieciom. Tak / Nie ? I wcale nie mowa tu o strachu, tylko o rzeczy nienaturalnej która chcąc nie chcąc została zaszczepiona im w głowach..."
0,"@MariuszGierej @RadekZyzik ""jesteś zaszczepiona, jedź kochanie z dziećmi do rodziców a ja przemęczę się sam w domu te 2 tygodnie"" :D"
1,"@ectuspolonus @jsuchecka Cóż, tak naprawdę jeśli nie zgłosisz NOP, kontakt lekarza z osobą zaszczepioną kończy się z chwilą wyjścia z gabinetu. Proszę, tu kolejny link
https://t.co/bZEMzdj0uN"
1,"@Anna_Mierzynska @EreaAndrzej Sytuacji nie ułatwia też postawa sąsiadów - np. PL, bodajże wczoraj czy przedwczoraj, doprecyzowała rozporządzenie sanitarne i za osobę zaszczepioną uznaje taką, której podano preparat z pieczątką od EMA.
Czyli Słowak po Sputniku, przyjeżdzając do PL i tak potrzebuje testu"
0,@Klara07858311 @Skijumpingpl @oberstdorf2021 Moja cała rodzina jest zaszczepiona 😁
1,"Ta informacja jest słabo rozpowszechniana, więc się dzielę: 4 marca ruszają zapisy na szczepienia przeciwko COVID dla osób przewlekle chorych. Szczepienia od 15 marca."
0,"I nagle się okaże, że całkiem duża grupa społeczeństwa jest zaszczepiona Pfizerem/Moderną czy AZ i są Polacy, którzy podróżują. Rząd będzie mógł odtrąbić kolejny sukces."
0,@Karol43251671 @micalrg zaszczepiona jedną dawką gównianej astry
0,"Dziś najmłodszy syn ma odwołane prawie wszystkie zajęcia na uczelni. Prowadzący są po szczepieniach preparatem AstraZeneca. 
Ciekawe, jak będzie się czuła wieczorem córka ( uczy w szkole muzycznej) zaszczepiona przed chwilą."
0,@MariuszGierej No przecież jasne że będą musieli jechać na osobne wczasy. A na takich turnusach wiadomo... zaszczepiony mąż znajdzie zaszczepioną żonę. 😉 Analogicznie niezaszczepieni.
0,"""I'm old enough to get it, and I'm smart enough to get it"" @DollyParton #vaccineadvocate 💉"
0,@micalrg Moja babcia 89 lat ciągle nie zaszczepiona. Brakuje zespołów mobilnych do osób które nie mogą same przyjechać do punktu szczepień.
0,"@piszezycie Choruje przewlekle i jestem już zaszczepiona pierwsza dawka, mogłam zapisać się wcześniej"
0,"Kolejna z moich znajomych zaszczepiona. Ankieta do wypełnienia, badanie, wywiad lekarski. 2 dni temu, pierwsza dawka, zero problemów zdrowotnych."
0,"I jeszcze refleksja o rezygnowaniu ze szczepionek przez nauczycieli. Może to sprawić że ktoś poczuje się lepszy i bardziej sprawiedliwy, ale efekt jest odwrotny do zamierzonego, bo w tym samym tygodniu nie zostanie zaszczepiona żadna nowa osoba 60+ ani nawet 50+ z innej branży"
0,Jak skuteczna jest szczepionka jesli ponad polowa juz zaszczepiona a tak maly narod notuje prawie 5000 nowych przypadkow dziennie? To nie ma sensu.
0,dzisiaj idę spokojnie na obiad do cioci bo już jest zaszczepiona dwoma dawkami🥳 a ona jest dla mnie jak druga babcia
0,"Janda: Cieszę się, że jestem zaszczepiona. Nie mam zamiaru niczego tłumaczyć. 
 https://t.co/Hh69wVDjKw"
0,"@adam_abramczyk Mało tego , TVPis poda, że już w 2012 większość była zaszczepiona 🤷🏼‍♂️😉"
0,"Israel COVID update:

- New cases: 4,738
- Positivity rate: 5.4% (-)
- In hospital: 1,172 (-66)
- In ICU: 253 (-25)
- New deaths: 26

Population vaccinated:
- 1st dose: 51.6% (+0.6)
- 2nd dose: 37.5% (+0.9)"
0,@wPolityce_pl Co z tego zaszczepiona ale do lata zarazi się na covid19 i może umrzeć a zmian genetycznych ta stara kobieta już nie powstrzyma 🧐
1,"Dolly powiedziała - ""jestem w wieku który już przyjmuje, I mam na tyle rozumu że przyjmę"" - Dolly Parton dziś została zaszczepiona - przypomnę że podarowała 1milion na pracę nad szczepionką  - I taką osobę lubię  #CelebryktaWKolejce"
0,"@micalrg Kolega 27 lat robi doktorat, prowadzi zajęcia zdalne ze studentami. Siedzi w domu. Zaszczepiony. Kolezanka pedagog lat 30 na wychowawczym juz 2 rok siedzi z dzieckiem. Zaszczepiona. Nie żaluje im ale jaki w tym wszystkim jest sens?"
0,"Zero skruchy! Janda o aferze szczepionkowej: Jestem bardzo szczęśliwa, że jestem zaszczepiona. Nie mam zamiaru się tłumaczyć

https://t.co/bIQcJVUgW5"
0,"@Katarzy39952539 @mangrby @RrMaciej W komentarzach na fb przeczytałam, ze kilka dni wcześniej była zaszczepiona. #nop"
0,POwinna być zaszczepiona przeciw wściekliźnie  🤡👹💩
1,"Z OSTATNIEJ CHWILI:
104-letnia torunianka zaszczepiona na COVID-19 w Polsce, które diagnozuje i leczy takie przypadłości"
0,"@KLubnauer @MZ_GOV_PL Chyba już za późno... W tempie w jakim prowadzone są zapisy i przydziały terminów grupa 60+ zaszczepiona zostanie, tylko pierwszą dawką, na koniec marca - a to i tak optymistyczna wersja. Wielu ludzi zapłaci za brak myślenia rządzących."
0,@DominikKucinsk Nie podesz danych o zaszcepionych.....zaszczepiona jest osoba po podaniu 2 dawki cymbale.
0,"Janda: Cieszę się, że jestem zaszczepiona. Nie mam zamiaru niczego tłumaczyć https://t.co/zNZHYux3me #wieszwiecej"
1,"@LimfocytT @macber15 @nastybastii @Berni2626 @Aga_W750 @AleksandraAnnaT @CrisNesHerrero @Marple_etPoirot 25%? W sensie na twojej uczelni? W Gdańsku dawno zaszczepiona cała grupa 0, moja mama w styczniu miała 2 dawkę"
0,"#Minela20 juz odpowiadam doktorze.
Z pandemia bedziemy mieli do czynienia dopoki nie zostanie zaszczepiona cala populacja na ziemi (9,7 mld ludzi)
Musi tez zostac wynaleziona szczepionka na przeziebienie.
Wtedy pandemia ustapi😎"
0,Koleżanka nauczycielka zaszczepiona w piątek. Dzwoni dziś i mówi: jak byś chciał się zaszczepić to... się nie szczep. :) Trzy dni w łóżku zozłożona doszczęnie od Astry...
1,Wpływ szczepień przeciw #COVID19 na zachorowania lekarzy. Od początku grudnia spadek z dziennego poziomu powyżej 200 do 10. Tutaj nie widać trzeciej fali! #szczepimysie https://t.co/XbMx9LNzRC
0,"@A_Traczyk Jakby Pan napisał ""50letnia ekspedientka w moim hipermarkecie nie będzie zaszczepiona przed wakacjami"" to dyskusja byłaby inna."
0,@MartaHabior Moja babcia lat 95 do dziś nie zaszczepiona 😠
0,@wPolityce_pl Pewnie została zaszczepiona witaminą C - a cieszy się z tego że ma to już za sobą i dostanie paszport zdrowotny więc będzie mogła podróżować! Cieszy się jednak przedwcześnie bo te szczepienia będzie trzeba powtarzać i następnym razem może trafić na prawdziwą szczepionkę!
0,"Moja Teściowa (nauczycielka) została dziś zaszczepiona Astrą, kolejny termin ma na 11 maja - to normalne, ktoś się orientuje?"
0,"@BalliMarzec @ZofiaYgrek @a_niedzielski Nie z powodu Covida ,a rozleniwil się ,więcej zarabiaja jak przedtem więc poco się wysilać ,niech pani nie manipuluje wiekszość lekarzy jest zaszczepiona ."
0,"@MartaHabior @MichalOleksyn Tak. Bo to jest tylko propaganda. Szczepimy medyków. Kto się zalapal na pierwszą turę, jest zaszczepiony. Reszta nie, bo zaczęli 80+. Pierwsza tura zaszczepiona, druga czeka, bo zaczęli 70+. Ci co mają terminy, zaszczepią się. Reszta nie, bo szczepią nauczycieli itd..."
0,"@LukaszMezyk @a_niedzielski Kasta. Portierka wydająca dziennie 500 kluczy w rektoracie nie jest zaszczepiona, tak jak administracja, która do pracy musi chodzić. Służba..."
0,"@licealnybelfer Koleżanka zaszczepiona, będzie dobrze."
0,"@restory244 @g00se88 @LukaszMezyk @a_niedzielski ale moja Mama lat 64 już mogłaby być zaszczepiona, to samo moi wujkowie, ciocie w wieku 58-69. w Zamian za to mamy zaszczepionych wykładowców/ćwiczeniowców którzy będą uczyć zdalnie. Nie da się obronić tej decyzji."
0,"Germany don’t want the jab, nor does Merkel. Merkel says I don’t want to come before anyone else that’s older than me. Germans say you take it if you trust it. Mexican stand off over vaccines in Germany. Will Merkel cave and take it?"
0,"@micalrg Moja ciocia nauczycielka na zdalnym zaszczepiona, brak kontaktu z uczniami, siedzi w domu, ja fizjoterapeuta 13 pacjentow dziennie w gabinecie pół metra odstępu czasem mniej podczas zabiegu manualnego, 3 razy odwołany termin szczepienia, do tej pory nie zaszczepiony, PATOLOGIA"
0,"@KWyszkowski Na około 20 znajomych zaszczepionych #PfizerVaccine, w tym tata koleżanki lat 83 praktykujacy doktor, tylko 1 osoba miała powikłania po 2 dawce. Duże osłabienie trwało 4 dni. Moja mama (71) dziś na Smoluchowskiego zaszczepiona #Moderna. Na razie wszystko OK."
0,"szkoda, że grupa 0 nadal nie jest zaszczepiona"
0,"@Pawe36706752 @MEIN_GOV_PL @szczepimysie Nie dostanie wówczas potwierdzenia, że jest osobą zaszczepioną. No chyba, że tę osobę taki dokument nie interesuje."
1,"@dominikacosic To jest proste Jak drut . To narusza prawa człowieka.Nie może być tak ,że szczepienia dają przywileje . Wszystkie świnie są równe więc chyba wystarczy ,że zaszczepiona świnia staje się bezpieczna nie widzę powodu by ta szczepiona świnia stała się równiejsza."
1,Mógłby ktoś wytłumaczyć - skoro zdecydowana większość lekarzy i pielęgniarek jest już zaszczepiona to czemu nadal funcjonują teleporady?
0,"Janda w Onecie chwali  się,że jest szczęśliwa  bo zaszczepiona  ,Pamiętaj Janda karma wraca oby tobie wróciła mocno  spleśniała bo może  skróciłaś  niektórym życie"
0,"@jan_czura @GreenCassio @lis_tomasz @MZ_GOV_PL Zasadniczo rekomendacja była do 55 r., to rząd podjął taką decyzję. Jestem wykładowcą i jestem zaszczepiona. To przecież nie my ustalaliśmy, tylko rząd."
0,"wgl, dowiedzialam sie dzis ze moja babcia jest juz zaszczepiona and im so happy"
0,@MartaHabior Moja mama 79lat dzisiaj zaszczepiona. Ale termin miała w zeszłym tygodniu ale szczepionki do szpitala nie pojechały.
0,💉Finally this week half of our group will be vaccinated for the first time! / Wreszcie w tym tygodniu połowa naszej grupy będzie zaszczepiona pierwszą dawką!😷 #SzczepimySię #COVID19 #vaccination #vaccinated #Szczepienia #koronawirus #coronavirus https://t.co/5TFSp7kd8y
0,"@BDStanley Też bym się szczepiła, ale wolałabym by moja mama, która ma wiele chorób współistniejących i jest w wieku 70+ zaszczepiona została w pierwszej kolejności. Tak miało być, zgodnie z planem szczepień, ale tak nie jest 🤷‍♀️"
0,"Mam 45 lat i jestem bez szans na zaszczepienie w tym roku. Gdyby była ulica Lecha Kaczyńskiego w Warszawie, to wyglądałoby to inaczej :-)"
0,"@tobezsensujest @CumomileTea8 Tak samo. Ja jestem szczęśliwie zaszczepiona w grupie ""O"" ale dla mamy, siostry bez mrugnięcia okiem bym zapłaciła. Zobaczymy jak to się utrzyma ale po miesiącu od II dawki p/ciał mam sporo."
0,"@DJ_ankov Nie mogę być zaszczepiona w grupie 1 z nauczycielami placówek publicznych, więc chociaż chciałabym być odizolowana od źródeł zakażenia. Mój kolega zmarł na covid i było to dla mnie traumatyczne przeżycie. Żadne życie nie jest warte poświęcenia Ty mówisz o tysiącach."
0,@OjciecRedaktor To raczej nie jest nagonka na doktorantów tylko właśnie na system. Sąsiad z żoną - oboje mocno zagrożeni-chorują na covid a ich córka już zaszczepiona. Przecież to absurd
0,Moja babcia lat 91 w końcu zaszczepiona. Pisu nienawidzi jak ja. 200 lat babciu!
0,"@kozelmanpoljew @__mpawlowska Pomogę ci - ideologia białych suprematystów została im zaszczepiona przez organizacje białych suprematystów i ludzi z nimi powiązanych. I choćbyś się gimnastykował do końca świata, to jest fakt. Więc przestań wybielać (nomen omen) rasistowskich porąbanych drani i ich kumpli, ok?"
0,"#SzczepimySię 
-
Trudny czas pandemii będzie dobiegał końca z każdą kolejną zaszczepioną osobą. Dopóki duża część społeczeństwa nie zaszczepi się na koronawirusa, będziemy musieli nadal przestrzegać podstawowych zasad bezpieczeństwa. https://t.co/UaqLHa65TC"
0,"Słyszę, że szczepienia nauczycieli to niezły horror. Znajomej wyznaczono szczepienie na 16ą. Stawiła się razem z dwoma setkami innych nauczycieli. Została zaszczepiona przed 21. Samo zmęczenie czekaniem powinno być przeciwwskazaniem, bo osłabiony organizm może źle zareagować."
0,"@BartSienkiewicz właśnie o to chodzi, to żadna pomoc
at the end of the day przypuszczam, że 99% populacji UE zostanie zaszczepiona szczepionkami z kontraktów KE
myślę, że nie tylko ja pana posła źle zrozumiałem"
0,"@restory244 @ufka2 @LukaszMezyk @a_niedzielski No to ciekawe, bo moja ciocia, która jest nauczycielką w wieku 60 lat i pracuje już od miesiąca normalnie nie została jeszcze zaszczepiona, ale cieszę się, że są rekomendacje na szczepienia 28latków, którzy zajęcia prowadzą online"
1,"@wazniak95 @MarcinRola89 Przecież @MarcinRola89 ma rację. Po to słuszna zdrowia jest zaszczepiona, żeby zacząć leczyć ludzi chorych na inne choroby. Jak lekarz może leczyć teleporadą nowotwór, cukrzycę itp.?"
0,"@Luiza93902397 Aa cieszę się bardzo ze jestes zaszczepiona 
Lecz ja nie mam zamiaru nawet"
0,"@tobezsensujest @GburiaFuria @Aniechto @CumomileTea8 Nie wiem, nie wnikam.Nie powiedziałam też ""a nie mówiłam?"". Zaproponowałam im pomoc, kiedy zachorowali.Mam pod opieką 83-letnią mamę, jest zaszczepiona całe szczęście, ale wtedy (lipiec)to o nią mi najbardziej chodziło."
0,@Planda_Michal @pisorgpl Nie nosi maski bo ta świnia 🐷 jest już zaszczepiona jak tysiące podobnych jemu
1,"Foliarz dezinformuje, że osoba zaszczepiona nie przenosi wirusa. 

A ekspert na to: https://t.co/HdLWnbS3Zl"
0,"@jdfashionfreak Jezu, ale antynaukowe pierdolenie XDDDD polecam się zapoznać co jest liczone jako powikłania, a także dlaczego to normalne, a wręcz wskazane, by występowały. Pozdrawiam, osoba zaszczepiona, znajaca dziesiątki również zaszczepionych"
1,"I hit z ostatniej chwili. 
Siostra znajomej ból brzucha i biegunka. 
Telefon do POZ.
Teleporada.
-""Nie ma takiej potrzeby, jestem zaszczepiona (pielęgniarka).
- Jeżeli wizyta osobista to obowiązkowy test. Szczepienie nie ma znaczenia. 

Najnajnajnajna
Najnaj naj naj🎶🎶
Kobierzyn"
0,"Powrót do 'normalnej' szkoły według wizji korporacji. Zaszczepiona, w maseczce, z 'dzienną' przepustką...👁️🔥 https://t.co/bVhePJm7ha"
0,"Rozumiem, że nieszczepienie się, a tym samym narażanie siebie i innych na rozprzestrzenianie się wirusa, jest przejawem altruizmu i wysokich kwalifikacji moralnych."
0,"@sbalcerac To ta Kieli? To ta zaszczepiona z mężem poza kolejnością? Jako ""medyk""? Jednak w życiu trzeba być bezczelnym i pozbawionym skrupułów."
0,@BlackAmarilla1 Dla mnie mało. W tym tempie będę zaszczepiona za rok
1,"@kategola @jan_czura @MZ_GOV_PL Będąc zaszczepioną niezmiennie, wg wszelkich dostępnych na dziś badań, nadal możesz być nosicielem i zarażać innych, w tym mamę. Nie pojmuję skąd to powielanie myślenia, że zaszczepiony nie roznosi. Zaszczepiony = w 95% uniknie ciężkiego przebiegu, ale nadal tak samo transmituje."
1,"@Grzegor34139127 @ViolaNewYork Wg oficjalnych danych większość lekarzy jest zaszczepiona. Poza tym lekarze to nie recepcjonistki. Miałeś kiedyś diagnozowane przez telefon zapalenie płuc? Lekarze zdarza się pomylić nawet gdy maja bezpośredni kontakt z pacjentem, a co dopiero w trakcie rozmowy telefonicznej."
0,"@MaciejRPawlicki @WartoRozmawiac @a_niedzielski Z głębokiej prowincji, cała obsada ośrodka zdrowia zaszczepiona podwójnie jeszcze w styczniu. Ośrodek zamknięty, tłumaczą że to w obawie o niezaszczepionych. Za to po godz. pracy, dr śmiga na wezwania pryw., za kasę, widocznie po 16.00, wirus odpoczywa."
1,#Minęła8 Mnie interesuje natomiast co dzieje się w środowisku lekarskim Służba Zdrowia w pierwszej kolejności  zaszczepiona a teleporady w dalszym ciągu o co tu chodzi? @a_niedzielski
0,"@jsuchecka No weś, moja siostra jest zaszczepiona i miała NOPA &lt;V symfonia Beethhovena w tle&gt;. Tak, trwał jakieś 24 godziny, pomógł paracetamol i teraz nic już się nie dzieje, ale widać, co bardziej straszne..."
0,"Może są zaszczepieni, to odważni, ale ja nie jestem zaszczepiona i poza tym, czy oni nie rozumieją, że moja maska chroni też ich? Pluję na takich staruchów. W życiu bym im nie dała szczepionki w pierwszej kolejności. Jak oglądam w tv, to słyszę ich, że oni już swoje przeżyli +"
0,"@naprawdejoanna Ja sie jutro dowiem jak u mnie bedzie. O ile dobrze policzylam, to powinnam byc zaszczepiona pierwsza dawka do Wielkanocy. No, ale ja nie mieszkam w PL..."
0,"@KaTaRk6 Widoczków mało robię:) jestem wielbicielką mgieł i mroków. 
Wypad pt: zaszczepiona endorfinami i świeżym powietrzem. https://t.co/9ocPFWx3lV"
0,@IPrlbis @PawelChojecki @TymekChojecki Key workerem jestem ja (nie medycznym) a będę szczepiony w kwietniu. Ona została zaszczepiona jako unpaid carrer. Osoba opiekująca się dzieckiem zarejestrowanym w DLA.
0,"@Kamilos_1986 @kupiec_jakub @AlbinaMoscicka @KrystynaMann1 @jan_czura @MZ_GOV_PL AGH jako uczelnia techniczna powinna część zajęć prowadzić stacjonarnie, w związku z czym powinna być zaszczepiona CZĘŚĆ nauczycieli tej uczelni."
0,@cogitatio__ @MarekS98837118 @Zolw__Pzn Siostra była tym zaszczepiona. Kilka osób z jej szkoły miało bardzo lekkie objawy grypopochodne przez 2 dni. Będzie dobrze👍❤
1,@MrWhitie Tak działają wszystkie szczepienia. Dopiero jak będzie zaszczepiona większość populacji ryzyko infekcji maleje. Przy zaszczepieniu około 95% możliwa jest eradykacja wirusa (tak było z ospą prawdziwą i jest blisko z polio)
0,@PiotrWarchlak Jako osoba zaszczepiona i świadoma zagrożenia epidemiologicznego odmawiam.
0,@SabinaRadwan1 Zostałam uroczyście zaszczepiona😁👍😘
1,"@MartaHabior Władza co tydzień ogłasza zapisy dla nowych grup, a nie zaszczepiona jeszcze nawet pierwsza. To pogłębia chaos. Ludzie już nie wiedzą nic."
0,"@SlawomirNitras @michaldworczyk Ba! Ja mam po sąsiedzku taki przypadek. Dziwewczyna 37 lat zaszczepiona a rodzice leżą w gorączce i ja muszę im pomagać bo córka daleko, druga w kwarantannie a w domu niepelnosprawny ojciec, 93-letnia babcia i dziadek + matka. Wszyscy chorzy. Ja już po covidzie."
0,"@LesJazd bla,bla,bla...🥸 jestem już znieczulona a chciałabym być zaszczepiona💉"
0,"@MaciejRPawlicki @WartoRozmawiac @a_niedzielski Mnie doszły słuchy, że jaśnie państwo udostępni swoje progi, dla pospólstwa, w momencie gdy zostanie zaszczepiona 3/4 społeczeństwa. Ponoć jest takie rozporządzenie."
0,@Explicite_ @prima_sort Widocznie tak zdecydowała zaszczepiona dyrekcja.
0,"@AdamAdam4949 @hanna_lisowa O komorowskiego ci chodzi, Czy kwaśniewskiego?? Wałęsa się zapytowywuje.... 😆😆😆😆🤭

PS. A lisowa już zaszczepiona?"
0,@kobietaona007 Kochana ....
0,@RobertKlimowicz Jejku!!! Poważnie tak powiedział? Ja ciągle nie jestem zaszczepiona. Czekałam z nadzieją
0,@marekrk @czerniakowianka @monika_kw @zaplutyzsalonu @ZLasami Patrz w serce ... a Ono z reguły wiosny chce ....
0,"@jan_czura @MZ_GOV_PL Może Pani z Biedronki nie chce być zaszczepiona, a Pan ""wykładowca"" wręcz przeciwnie? Uprasza się mediaworkerów o umiar w próbach kreowania rzeczywistości."
0,"@darek19644 Pisowska "" elita"" już dawno zaszczepiona."
0,"Wczoraj po szczepieniu czułam się bardzo dobrze, dziś nie mogę podnieść się z łóżka i gorączkuje, ale równocześnie jestem przeszczęśliwa, bo każda kolejna zaszczepiona osoba to jeden mały krok do starej normalności 🖤 #SzczepimySię"
