etykieta,tekst
11,@MichaWojtcz @michaldworczyk Do tej pory PSz prowadzone przez Warszawę wykonały ok ~10% wszystkich szczepień na terenie WWA. Szczepienia nie mogą być polem politycznej rywalizacji - to sprawa ważna dla wszystkich Polaków.
10,"""UK podejmie decyzję czy powinno szczepić się ludzi poniżej 30 roku życia szczepionką AstraZeneca

Ryzyko śmierci na koronawirusa jest tak niskie w tej grupie wiekowej, że trzeba uwzględnić ryzyko zakrzepicy i benefity zaszczepienia takiej osoby

https://t.co/9Bzh7OLFXr"""
2,"""UK podejmie decyzję czy powinno szczepić się ludzi poniżej 30 roku życia szczepionką AstraZeneca

Ryzyko śmierci na koronawirusa jest tak niskie w tej grupie wiekowej, że trzeba uwzględnić ryzyko zakrzepicy i benefity zaszczepienia takiej osoby

https://t.co/9Bzh7OLFXr"""
13,"""@hype_and_space @misiek_86 @Devikitsu @KamilSciana @matzdanowicz @MonissWF Będę musiał się tym zainteresować osobiście, bo sam niedowierzam. Problem w tym, że mój ojciec jest niemobilny i to szczepionka musi przyjechać do niego.
W zeszłym miesiącu był 2 tygodnie w szpitalu i też mu nie dali i kazali „czekać na swoją kolej”... To jest patologia."""
1,"@joannabak31 Myślicie że szczepienia ochronią was przed Covi 19? Nic bardziej mylnego, tez się zarazicie i wszystko zależy jaki macie silny organizm. Tylko to, reszta to eksperyment. A lekarze są głównym trybikiem tej zarazy."
3,"@SzmerLasu Ja tam żadnej narracji nie prowadzę, stwierdzam tylko że w zaawansowanym wieku każdy wirus, nawet przeziębienie jest niebezpieczne. Żadna szczepionka nie daje 100% pewności że się nie złapie choroby, to nonsens"
13,@KLubnauer @michaldworczyk Do tej pory PSz prowadzone przez Warszawę wykonały ok ~10% wszystkich szczepień na terenie WWA. Szczepienia nie mogą być polem politycznej rywalizacji - to sprawa ważna dla wszystkich Polaków.
11,"""@_zboral @michaldworczyk Kilka godzin później wstrzymali szczepienia w Północnej Karolinie - 18 dzialan niepoządanych w tym cztery osoby trafily do szpitala
https://t.co/xZMNXcKqGs"""
11,"@WVSawoniewicz „Ofiary reformy prof. Balcerowicza”, takowych nie ma, byli tylko Ci, którzy nie mogli pogodzić się z odejściem od socjalizmu i gospodarki centralnie sterowanej.Opinie o reformie prof. Balcerowicza są jak szczepionka Astra Zeneca, z reformy więcej jest korzyści niż strat :)"
1,"@BakKamil94 @MarekTomkow @NIZP_PZH Będzie budziło sensacje, bo ludzie wolą sensację od wiedzy. Zostanie rozszerzona grupa kwalifikujących, szczepiących i punktów szczepień. Szczepienia powstrzymają mutacje. Trzeba się nastawić na efekt."
13,"@BakKamil94 @MarekTomkow @NIZP_PZH Będzie budziło sensacje, bo ludzie wolą sensację od wiedzy. Zostanie rozszerzona grupa kwalifikujących, szczepiących i punktów szczepień. Szczepienia powstrzymają mutacje. Trzeba się nastawić na efekt."
11,"@mamakatarzyna @AndrzejPiecuch No to powiedział, ale nie wiesz kiedy i iloma dawkami?! A wiesz  ogóle, że szczepionka nie chroni od razu po podaniu?"
3,"""PARADOKS WYJAŚNIONY🤦🏻‍♀️
Prof.Flisiak-te szczepionki są jednymi z najbardziej skutecznych jakie ludzkość wymyśliła‼Jeżeli już dojdzie do zakażenia, szczepienie zapewnia, że to zakażenie będzie przebiegało łagodniej i nie będzie stwarzało zagrożenia śmierci‼
https://t.co/4BYHw1pA3y"""
11,"""@michaldworczyk @beatamk @MorawieckiM Zdaniem amerykańskich biskupów zatwierdzenie w USA szczepionki Johnson&amp;Johnson rodzi moralny sprzeciw... najnowsza szczepionka została opracowana, przetestowana i wyprodukowana przy pomocy linii komórkowych nienarodzonych dzieci.
#covid19 #szczepimysię 
https://t.co/xnNeNHOMzg"""
4,"@tvn24 MACIE KREW NA RĘKACH! SZCZEPIONKA ZABIŁA KRAWCZYKA. ORAZ SZPITAL COVIDOWY. CELOWO WYPISAŁ NA DZIEŃ PRZED ŚMIERCIĄ, ŻEBY UMYĆ SOBIE RĘCE. MIMO SZCZEPIONKI COVID GO ZABIŁ. DOŚĆ KŁAMSTW DOTYCZĄCYCH SZCZEPIEŃ."
11,"""Sześć milionów ludzi. 

6 milionów niewinnych istnień. Dzieci, starców, kobiet, mężczyzn.

Nie zapomnijmy nigdy, że zaczęło się od słów, a skończyło w kominach Auschwitz. 

„Nie bądźcie obojętni”.

#HolocaustRemembranceDay #YomHaShoah #yadvashem https://t.co/kU7z7rBasX"""
3,"""@CorpseGroom3 @AGozdyra Szczepionka powinna zabezpieczyć przed ciężkim przebiegiem.Działa dopiero po 2tygodniach od 2giej dawki.
Dzięki szczepieniom Izrael właśnie wraca do normalnego życia."""
10,"""Starsi mogä ponosić ryzyko śmierci po zaszczepieniu syfem Astra Zeneca...?
AstraZeneca nie dla młodych. Wielka Brytania odradza szczepienia wakcyną z Oxfordu osobom przed 30-stką https://t.co/g7jk88VlZS"""
11,@naprawdejoanna @karina_adamczyk Na infolinii nie chcą już podawać jaką szczepionką szczepioną w danym punkcie w danym dniu.
11,"Dziś z konferencji rządu dowiedzieliśmy się, że z 13 punktów masowych szczepień, które tworzymy w @warszawa, ruszy jeden... jako pilotażowy. Rząd znów serwuje Polakom niepewność! https://t.co/jDKy5PPhqz"
1,@RadioZET_NEWS Wręcz przeciwnie ludzie będą częściej chorować bo te szczepionki osłabiają system immunologiczny wtedy ci naukowcy ogłoszą że to jest wynikiem nowej mutacji i trzeba powtórzyć szczepienia aby ponownie nabrać odporności - i tak w kółko!
3,"@vnreadable @Equinus26_ @Nikola45938276 @jvlka_mazur @WBC241 szczepionka nie gwarantuje stuprocentowej odporności, ma tylko uchronić przed ciężkim przebiegiem choroby. nie wiem na ile dni przed covidem został zaszczepiony, ale być może w ciele nie wytworzyło się wystarczająco dużo przeciwciał"
11,Niebawem ruszą masowe szczepienia przeciwko Covid-19 https://t.co/VuFYGEVHIv
11,Wiceminister zdrowia: być może konieczne będzie powtórzenie szczepienia przeciw COVID-19 https://t.co/F64xrjJfKm
9,"""#tvpinfo. WP Wiadomości: Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? '""Było polecenie, szybko odwołane'"".
https://t.co/z8Z2k44utm

w usłudze @GoogleNews"""
11,@dandrzejewski3 @MZ_GOV_PL Karmienie piersią nie jest przeciwskazaniem do szczepienia.
11,"@AgnieszkaO2GA Haha, no ale mam inne pytanie nie lubia Rosji, a lubia przyjaciol rosji Orbana i tego wlocha, a ten wloch to ma nawet selfie z Putinem i koszulki z Putinem, a Orban to robi interesy z Rosja , szczepionka sputnik v np, ropa, gaz"
11,"Dwa 'szczepienia'"" co sześć miesięcy! 💉💉 Izrael pędzi naprzód z systemem, który czeka na wszystkich! Jednak w Izraelu wstrzykuje się placebo!Tam nie ma zgonów spowodowanych szczepieniami, a jeśli podają tak w wiadomościach,to są kłamstwa! Statystyki mówią same za siebie! https://t.co/uTuIbESwBE"""
4,"""@agniezet @DolinaRoztoki Czyli szczepionka zabiła ;(
Wierzyc  się nie chce że są barany co myślą że to sam wirus zrobija🤦🤦🤦
Biedny pan  zabili go ;(( i gdzie są ci zwolennicy szczepienia ?"""
11,Jeżeli szczepionki miałyby nie zaszkodzić to nie byłoby przeciwwskazań dla np. kobiet w ciąży. Szczepionki NIE SZKODZĄ w OKREŚLONYCH warunkach. Tak samo jak wszystkie inne substancje. Jest to udowodnione.
9,"@Banasiak1 @Ewelina73958223 @BogdanKlich @Platforma_org @PO_Podkarpackie Ale mowa jest o strzykawce a nie o igle. Strzykawka to taki plastikowy przedmiot, który w trakcie szczepienia dotyka raczej tylko osobą szczepiąca."
11,"@BWicinski Szczepienia wymagają jednak centralnego planowania. Pan by wolał, żeby to samorządowcy byli twarzą czegoś na co i tak nie mają większego wpływu, a przygotowanie miejsc na szczepienia to ich psi obowiązek. Właścicielem obiektów jest miasto, nie państwo. Czysty kalizm."
11,"""@dejv37100 @okonkevin247 @kris_mag No ale skoro leczy,to trzeba go produkować, podnieść cenę, sprzedawać w tonach,to kasa.
A tak szczepionka będzie powodować,że nie chorujemy, to się nijak koncernom nie opłaca,żebyśmy byli zdrowi. Im się opłaca byśmy chorowali,bo wtedy więcej kasy wydajemy na leki,nie?"""
10,"""@Gosc_RadiaZET @RadioZET_NEWS @BeataLubecka A tymczasem w Kandzie.

'""NACI ocenił stosunek korzyści do ryzyka porównując to zdarzenie niepożądane z ryzykiem zgonów COVID-19 u osób w Kanadzie w różnych w grupach wiekowych'"".

I cofnięto rekomendację dla szczepienia osób &lt; 55 roku życia AZ.

https://t.co/vtw4ZC21bM"""
2,@m_sutkowski przyznaję  że szczepionka Astra Zeneca jest nieprzebadana.
11,"@anita_fogler POLECAM szczepienia! Zwłaszcza z dwiema partnerkami! Nie ma żadnych NOP ! I wszyscy zdrowi i uśmiechnięci. Takie szczepienia należy wielokrotnie powtarzać dla dobra Ogółu - 'Narodowego'"""""
9,"Zarąbiste. #SzczepimySię wielokrotnie używanymi jednorazowymi strzykawkami. Ale szczepienia to dla waszego dobra oczywiście, ufajcie rządzowi i decydentom, nie takim szurom jak ja xD"
10,#Australia 💉 Szczepionka #Pfizer zalecana dla osób poniżej 50 roku. Ograniczenia w używaniu #AstraZeneca dla osób w tej grupie wiekowej. Oznacza to jeszcze większe zwolnienie w tempie szczepień 🐌
11,"""@PBeatap Należy bezwzględnie wykluczyć, że szczepionka przeciwko SARS-CoV-2 może wywołać reakcję immunologiczną przeciwko syncytynie-1, ponieważ w przeciwnym razie wywoła niepłodność trwająca  nieokreślony czas(może też terminować ciąże). 
2/2"""
11,Szwecja . Wystarczy jedna szczepionka dla tych co chorowali na covid.
1,"@Pawe00435641 @lis_tomasz Nie umrze, bo ich nie będzie. Niestety profesorowie med. biją na alarm bo właśnie gwałtowne szczepienia spowodują potężną agresywną mutację koronawirusa odporną na szczepionki . Info na moim profilu na FB. Dokładna wypowiedź profesora."
9,"""Czy ich już całkiem popierdolilo?! 

&lt;Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? '""Było polecenie, szybko odwołane'""&gt;"""
11,"@pisorgpl @MorawieckiM To rozumiem, że wszyscy członkowie @pisorgpl zostaną zaszczepieni najlepszą szczepionką na świecie, tj. AstraZeneca. Nie musicie dziękować narodowi, że tak o was dba."
1,"Jako laik myślę sobie, że lekarze piszący o mutacjach odpornych na szczepionkę powinni być precyzyjni. Co to znaczy, że szczepionka nie chroni? Nie chroni przed zakażeniem czy ciężkim przebiegiem? U większości, mniejszości? A jeśli tego nie wiemy, alarmistyczne wpisy nie pomagają"
3,"Jako laik myślę sobie, że lekarze piszący o mutacjach odpornych na szczepionkę powinni być precyzyjni. Co to znaczy, że szczepionka nie chroni? Nie chroni przed zakażeniem czy ciężkim przebiegiem? U większości, mniejszości? A jeśli tego nie wiemy, alarmistyczne wpisy nie pomagają"
3,"@a_niedzielski Im więcej zaszczepionych osób, tym więcej choruje i  tym więcej jest zajętych łóżek w szpitalach. Tak dobrze działają szczepienia."
3,"@retusz @HisTourKrk Reti, ale ta akcja pokazuje ,ze z KAŻDEGO mozna 'zrobic wariata'"". '""Może być pan bezobjawowy'"". Przypominam niesmialo: SZCZEPIENIA chronia przed ciężkim przebiegiem choroby a NIE ZAPOBIEGAJĄ zarażenia się i rozsiewania wirusa. Wszyscy zaszczepieni maski na ryj bo mogą zarażać."""
11,"...że obowiązkowe szczepienia są legalne i mogą być konieczne w społeczeństwach demokratycznych'"" ... nat soł fast skurwiesyny, przecież u nas praworządność jest zagrożona... więc i demokracji nie ma..."""
11,"@Obcy8pasazer @merlijah @jurajczyk @Firarafaa @bukarolbu @wybranowski Te szczepienia to nic innego jak niestety depopulacja nie tylko ludzi starszych,schorowanych ale tych którzy mogą długo żyć i pobierać świadczenia emerytalne przez długi czas."
9,Trwają szczepienia wielorazową strzykawką 🙃 https://t.co/hfR3GwaNEk
11,Po co szczepionka?  Wystarczy aby patoopozycja zniknęła że sceny politycznej. Z Tobą na czele.
11,"""Rząd zablokował uruchomienie 13 samorządowych punktów masowych szczepień w Warszawie na rzecz jednego rządowego populacyjnego punktu szczepień powszechnych? Pani ministrze @michaldworczyk, czy może pan to wyjaśnić?
https://t.co/3Msg6GXnKI"""
11,"""@George_Orwell__ Szczepienia nie chronią
https://t.co/sJwYmnimPs"""
11,"@AgnieszkaO2GA Tu lekarz zmarł po 3-mieiącach od szczepienia , tak że spokojnie jeszcze wszystko możliwe. https://t.co/LnzdZo1wIT"
11,"@dszper @CarlossDee @K_Stanowski Są już teorie, że właśnie masowe szczepienia będą powodem powstawania mutacji, które raczej będą niszczące dla tych zaprogramowanych przez szczepienia. Ale to hipotezy. Podejrzewam że w końcu odblokują i zaczną produkcję zwykłych medykamentów,  lub też pójdą w kierunku tabletek"
11,"@dszper @CarlossDee @K_Stanowski Bo tak patrzac na wirusy grypowy, to szczepienia nie są moim zdaniem opłacalne. Ale naprawdę nie wiem co zrobię w przyszłości. Niczego nie neguję i sledze"
1,"@KrzysioJezyna @MiBor19 @GCessak @MZ_GOV_PL Są dopuszczone na rok, bo wirusy mutują. Zakaźnicy mówią, że będzie z tym wirusem to samo,  co z wirusem grypy. Za rok potrzebna będzie zmodyfikowana szczepionka."
1,@a_niedzielski w  przyszłym roku trzebabedzie zaczac od nowa szczepienia które beda skuteczne na nowe mutacje tak samo jak w przypadku  grypy   odpornosc szczepionki jest  tylko wazna  na jeden sezon tak samo ozdrowiency nie nabywaja odpornosci stałej  po  pół  roku spada odpornosc na covid 19
10,"""czego nie ma w tv info
europejski Trybunał praw człowieka stwierdził, że rząd może narzucić obowiązek szczepienia dzieci
jest to stopa w drzwiach do obowiązku szczepienia przeciwko świrusowi! 
a tu drugie dno... https://t.co/5egx1Vb7EW"""
11,"@jbrudzinski @GPtygodnik Może warto dodać, że Niemcy dały 700 mln euro na pracę nad szczepionką, Polska 750 tys. euro. Gardłujecie tak, jak byście dali 7 mld euro co najmniej..."
11,"""Dowody na skorumpowaną decyzję Europejskiego Trybunału Praw Człowieka (ECHR):
ECHR w Strasburgu orzekł dzisiaj, że obowiązkowe szczepienia nie byłyby sprzeczne z prawami człowieka i mogą być konieczne w społeczeństwach demokratycznych: 
Nie jest dobrze !
https://t.co/UJdnOzTvGd"""
11,"""@ezoteryczna301 To co jest faktem.
Pielęgniarki pracujące okołocovidowo mają 12 tys. podstawy (ze stażowym itd.), za szczepienia dostają dodatkowe wynagrodzenie, bo same szukają dodatkowych etatów - zdarza się, że dwóch.
Debile tego nie ogarniają."""
9,"""@Pysznej_Kawusi @MariuszGierszew Opozycja kazała używać jednej strzykawki do szczepienia kilku osób. Taaa...
Weź koło i yebnij się w czoło"""
2,"""Naczelny lekarz Australii, Paul Kelly, twierdzi, że szczepionka jest bezpieczna i skuteczna, jednak rząd wciąż chce na własną rękę zbadać rzadkie przypadki występowania zakrzepów.
https://t.co/hDnaRX7nFn"""
13,"@michaldworczyk @MorawieckiM Pajacu może odniesiesz się do wczorajszych słów Niedzielskiego tj. 'przyspieszamy szczepienia, w konsekwencji mamy więcej zachorowań ozdrowieńców'"" ?"""
13,"""@mary07_maria @PremierRP @MorawieckiM Szczepionka może uchronić przed chorobą lub złagodzić przebieg.
Dlaczego nie jest dostępna?
Bo McKwacz dba o sondażowe słupki i nie chce szczepić wszystkich chętnych, tylko swój elektorat 70+"""
3,"""@mary07_maria @PremierRP @MorawieckiM Szczepionka może uchronić przed chorobą lub złagodzić przebieg.
Dlaczego nie jest dostępna?
Bo McKwacz dba o sondażowe słupki i nie chce szczepić wszystkich chętnych, tylko swój elektorat 70+"""
11,"@EwaLTylkoPytam W Rzeszowie tempo szczepienia co 15 minut, : podał Polsat. Czy lekarz zdąży obejrzeć, wypytać delikwenta o stan zdrowia przed zaszczepieniem??"
9,"""To się k... scyzoryk w kieszeni otwiera. Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie?
#COVID19 
#pandemia 
#Rzeszow 
#PaństwoZDykty

https://t.co/26O51nGhOE"""
9,"""❗️[PiLNE]❗️
„Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? ...'""

https://t.co/7E6TDuwG7j"""
11,@adlagn @Xubs2010 @lkwarzecha @bweglarczyk @KonradPiasecki @KonradBerkowicz @krzysztofbosak @GrzegorzBraun_ Tych zgonów już są setki w Polsce a w mediach cisza i tylko naganianie do szczepień! To szaleństwo trzeba przerwać a te szatany szykują się do szczepienia dzieci  już w lecie!
11,pośród emerytów są też osoby umierające przez covida spowodowanego najprawdopodobniej szczepionką.
11,"@Silurus19 @marcinwarchol @KONFEDERACJA_ 1) Odcięto ognisko choroby, miasto Wrocław. Wyszczepiono (szczepionka z ZSRR) 98 proc. miesz. Wrocławia i ponad 70 proc. reszty Polaków. Szczepienia były obowiązkowe, opornych szczepiono po aresztowaniu. We Wrocławiu restrykcje były znacznie ostrzejsze, aniżeli są teraz."
11,Obowiązkowe szczepienia? Europejski Trybunał Praw Człowieka zajął stanowisko https://t.co/WygsZQlDA8
2,jakby boze ja czasem nie moge z tym jacy ludzie to debile „ale to nie jest potwierdzone” who wydalo oswiadczenie ze zakrzepy powodujace smierc to efekt uboczny jak myslicie ze jestescie madrzejsi niz who to ide wam kupic czapeczke foliową
9,"""📍 Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? '""Było polecenie, szybko odwołane'"".
Dr Grzesiowski: To naruszenie podstawowych zasad bezpieczeństwa. Sytuacja do wytłumaczenia jedynie w momencie bezpośredniego ratowania życia.
https://t.co/HxR5mYJxXA"""
1,"@PR24_pl Wirus mutuje dlatego szczepienia nic  nie dadzą. Oni o tym wiedzą ale kasa płynie, strach podtrzymany więc trzeba cyrk kręcić"
3,"@PR24_pl Wirus mutuje dlatego szczepienia nic  nie dadzą. Oni o tym wiedzą ale kasa płynie, strach podtrzymany więc trzeba cyrk kręcić"
11,"@VivatVita @PBasiukiewicz Ja bym po prostu nie doszukiwał się w tym biznesu a nauki. Biznes odwrotnie, rozgrywa brudną kampanie aby pokazać że jedna szczepionka gorsza a druga lepsza. Nauka po prostu nie może powiedzieć na jak długo działa szczepionka, bo za krótko je mamy."
11,Wiceminister zdrowia: Szczepienia przeciwko COVID-19 trzeba będzie powtórzyć https://t.co/yI76mAv6NE
11,"@JacekJaworskiGd @AnnaZabl @Radio_TOK_FM @TOKFM_NEWS @SamselMarcin @ZiutaB Tak- fizycznie/lekarsko bez problemu. Jeśli chodzi o klepanie w systemie, to już nie. Mogę godzinę dziennie robić szczepienia, ale potem muszę wrócić do innych zadań. Teraz robimy wszystko na raz i w międzyczasie. Cały czas o tym mówię..."
9,"""Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie ? '""Było polecenie, szybko odwołane'""🙈

 https://t.co/Qng8nkQ4Sw"""
13,"@bozenalisowska Tak, bowiem szczepienia są organizowane fatalnie."
1,Wiceminister zdrowia: Szczepienia przeciwko COVID-19 trzeba będzie powtórzyć https://t.co/2ZeLFI4p15
9,"Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? 'Było polecenie, szybko odwołane'""- WP Wiadomosci https://t.co/mAPOZyDCik"""
9,"Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? 'Było polecenie, szybko odwołane'""- WP Wiadomosci https://t.co/9wZLh7S6o6"""
9,"Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? 'Było polecenie, szybko odwołane'""- WP Wiadomosci https://t.co/O03x3sgXwR"""
9,"Szczepienia w Rzeszowie. Jednorazowe strzykawki wykorzystano wielokrotnie? 'Było polecenie, szybko odwołane'""- WP Wiadomosci https://t.co/dsnhuW9iDo"""
11,"@KrzysioJezyna @MiBor19 @GCessak @MZ_GOV_PL Szczepionka nie jest eksperymentem, jest wynikiem wieloletnich prac, badań naukowców."
11,"""Trybunał UE:'""szczepienia dzieci zgodne z prawem i konieczne'"".
Nie wiem co matki na to powiedzą....."""
3,@thenews24pl Dlaczego teraz wynosi 3 miesiące ? Szczepionka ma podobno zapobiegać ciężkiemu przebiegowi choroby. Czyżby rządom zależało na dużej śmiertelności ? Dlaczego ?
11,"@wlodekczarzasty @ukasz55381278 System szczepień ustawiono tak , że to pacjenci czasem jeżdżą po całej Polsce aby się zaszczepić , ludzie jeżdżą za szczepionką .   A to szczepionka powinna podążać za pacjentami . Czy w końcu znajdzie się ktoś mądry wśród decydentów aby to zmienić."
11,"""@NoemiWojnicz @dworczyk 👋👋👋👋👋   👋👋👋

Żadna szczepionka nie ma prawa się zmarnować. To my je kupujemy za nasze pieniądze i nam mają służyć! 😡"""
13,@MartaStruczews1 Dlaczego teraz okres między I d II dawką szczepionki wynosi 3 miesiące ? Szczepionka ma podobno zapobiegać ciężkiemu przebiegowi choroby. Na początku szczepień mówili że okres ten powinien wynosić tylko 14 dni. Czyżby rządom zależało na dużej śmiertelności ? Dlaczego ?
11,@szczepimysie @dkowalczyk63 Szczepionka nie leczy.
3,"@Gregor_Kob @Grzegorz_Red @Dawid95001263 ...szczepienia przerywają transmisję- takie są pierwsze doniesienia, ale faktem jest że bez systemu testowania i śledzenia jesteśmy niezdolni do aktywnego zwalczania epidemii=zmniejszania ilości zakazeń i w konsekwencji zmniejszania liczby zgonów"
10,"@grzesiowski_p Za chwilę będzie to bardzo bezpieczna szczepionka bo tylko w Polsce będzie szczepiło się młodych ludzi. Będzie Pan miał rację. Niemcy, Hiszpania, włochy, Portugalia, Francja, Belgia, Finlandia, Dania, Wielka Brytania- Kraje te wprowadzają ograniczenia wiekowe do stosowania AZ"
11,"""@Krzysie44356847 @ulanbar1 @kicuu000 @szczepimysie @MZ_GOV_PL Zerknąłem szybko w Google i natrafiłem na informacje o 50% skuteczności. Być może znaczenie ma też, którą szczepionka się szczepimy. Przydałyby się dodatkowe informacje, bo szczepionka szczepionce nierówna.
Wg danych ze Stycznia 1 dawka pfizera to jedynie 52% skuteczności."""
11,"@MaaPera4 Dla mnie to logiczne, nieprzebadana szczepionka, produkowana przez firmy którym zależy jedynie na zysku i na dodatek zwolnione z jakiejkolwiek odpowiedzialności. Czy taki produkt to coś co chciałbym wstrzykiwać sobie do własnej krwi ? Odpowiedź brzmi nie."
11,"""@Mysterybuzu Pamiętamy jak NYT sugerował ze szczepionka na COVID będzie w 2036 roku....Sześć dni po wyborach Pfizer podał dane dot skuteczności szczepionki....
https://t.co/INTwlvZN6r"""
11,"""@Mysterybuzu Pamiętamy jak NYT sugerował ze szczepionka na COVID będzie w 2036 roku....Sześć dni po wyborach Pfizer podał dane dot skuteczności szczepionki....
https://t.co/INTwlvZN6r"""
1,Wiceminister zdrowia: być może konieczne będzie powtórzenie szczepienia przeciw COVID-19 https://t.co/4J4vJ9d5D5 przez @OnetWiadomosci
11,"""#morawiecki
Zapowiedziano Szczepienia W Zakładach Pracy. Premier Morawiecki Ogłosi...
https://t.co/ML0i02XQXO https://t.co/SdpiPnazE6"""
11,"""Niemcy chcą szczepić rosyjską szczepionką Sputnik - V. Obstawiam, że zostanie szybko dopuszczona w UE.
https://t.co/OzecMeyYSM"""
11,"""@girzynski Tak, że ten...

'""NFZ potwierdza, że poseł #PiS nie był uprawniony do szczepienia. Znamy wyniki kontroli.'""
https://t.co/EBweFOlHuO"""
11,"""@aniakostro @DuduBiberveldt To nie jest szczepionka, gdyż nie spełnia żadnego wymogu i parametru zawartego w definicji szczepionki.
Nic w tym złego, tylko nie powinno się nazywać szczepionką. Tak jak lampa LEDowa na E27 żarówką. 
To definicja PWN https://t.co/eUyocwSEmy"""
11,"""Do rankingu miliarderów Forbesa wszedł… szef Moderny 

 Szczepionka przeciwko Covid-19 znacznie powiększyła jego fortunę.

https://t.co/JcFv56KbYI"""
11,"""Do rankingu miliarderów Forbesa wszedł… szef Moderny 

 Szczepionka przeciwko Covid-19 znacznie powiększyła jego fortunę.

https://t.co/JcFv56KbYI"""
3,Ekspert: Szczepionka nie daje nieśmiertelności – zaszczepieni będą chorować i zarażać. https://t.co/6M1KidG3Y2
13,"@AwskiZbigniew @DoRzeczy_pl Wydaje mi się, że tych pierwszych nie ruszano (możliwe, że ze strachu o powiększenie chaosu) gdy pojawiły się możliwości szybszego szczepienia a w wolne terminy świeżaków wpisywano"
10,"""@PawelMarciniak0 @szczepimysie @OloCzarny @michaldworczyk
2️⃣obecnie dostępnego na stronie ministerstwa. Została mi przypisana szczepionka AstraZeneca, bez wyboru, a zdrowe osoby w wieku 40 lat mogły szaleć, od Astry po Moderne. Kiedy najnowsze badania pokazują że Astra jest mniej efektywna u młodszych osób, nie chorych."""
11,Szczepionka Johnson&amp;Johnson w Polsce. Dworczyk: Do końca kwietnia dotrze ponad 300 tys. sztuk https://t.co/Gm9gsIGxNv
11,"Co raz większy terror. Francja: 'Już nie wystarczy zaszczepienie 60-70% populacji, teraz konieczne zaszczepienie 90% do uzyskania odporności stadnej'"""""
1,"Producenci szczepionek mówią, że szczepionka na COVIDa działa od 3-6 miesięcy. Jaki jest sens szczepić na globalną skalę skoro ci co zaszczepili się na zimę, będą musieli zaszczepić się ponownie na jesień."
11,"""@ZulusCza_ka @tvp_info @adamSzlapka Orban już dawno
 szczepi ruską i chińską szczepionką."""
11,"""⚠️

https://t.co/2QOhIged7m"""
11,"@synxchaosu Szczepionka na grypę już jest 'sezonowa'"". Na covid będzie pewnie to samo, tylko nie wiadomo czy sezony co pół roku, czy co rok."""
4,"@MarcinRola89 Wykorzystywanie śmierci Krzysztofa Krawczyka do walki politycznej jest podłe i niegodziwe. Przecież wiadomo, że nie szczepionka przyczyniła się do jego śmierci, ale wiele chorób, które artysta posiadał jak chociażby migotanie zastawek serca."
11,"@MarcinRola89 Wykorzystywanie śmierci Krzysztofa Krawczyka do walki politycznej jest podłe i niegodziwe. Przecież wiadomo, że nie szczepionka przyczyniła się do jego śmierci, ale wiele chorób, które artysta posiadał jak chociażby migotanie zastawek serca."
2,"WHO: związek między szczepionką AstraZeneki i zakrzepami prawdopodobny, ale niepotwierdzony Kolumna24 https://t.co/VGkBT0WlH7 #zakupy #porównywarka #wiadomości #kolumna24 #who #związek #szczepionką #astrazeneki #zakrzepami #prawdopodobny #niepotwierdzony"
11,"""@micheleszurstor To taka, wektorowa szczepionka go szczepiłas.  Dokładnie taka sama, tylko na innego wirusa.
Masz syna. Musisz zyc. Szczep"""
11,@Dumna_z_Polski a ile bylo szczepionek wtedy a ile teraz ?   szczepienia ruszyły mocno od nie dawna i to wszędzie ..   jesli jest 50 szczepionek umrze 5 a jak jest 5 tys moze umrzeć wiecej
1,"@Adamwolnemiasto @SercemiRozumem @Dawid95001263 4f może wywołać jedynie wirus przełamujący dotychczasową odporność. Bardzo możliwe, że przełamie też odporność po szczepieniu, bo szczepienia podczas masowych zachorowań takie warianty promują."
13,"Każde odsuwanie szczepienia jest na niekorzyść osoby, która miała być zaszczepiona'"" https://t.co/yjPlVqY0cI Wszyscy klamia jak najeci i jeszcze sa bezczelni bezgranicznie !"""
11,"Prof. Waldemar Paruch właśnie powiedział, że jako akademik został już zaszczepiony - pfizerem. Słyszeliście o tym, żeby wykładowcy dostawali nie-Astrę?"
11,Maski opadają. Europejski Trybunał Praw Człowieka wprost: Obowiązkowe szczepienia są konieczne w społeczeństwie demokratycznym https://t.co/XG4nWyrg5L
11,@puchalski_pawel @mondaymonday88 I wzajemnie bo nie widzę możliwości żeby szczepienia na hali wykluczały banke skoro mają się odbyć w różnych terminach. :)
11,The European Court of Human Rights (ECHR) in Strasbourg ruled on Thursday that compulsory vaccinations are legal and may be necessary in democratic societies. https://t.co/S7aVZlq9XA https://t.co/rnXRT0IdfR
