,title,verdict,short_justification
472,Czy klinicznie i patologicznie nie ma różnicy między grypą a Covid-19?,Fake News,"Fake news. Grypa i COVID-19 to dwie różne choroby. Istnieje między nimi wiele podobieństw, obie są zakaźnymi chorobami układu oddechowego, jednak wywołują je różne wirusy. Jeśli zgłębimy temat, okaż..."
473,"Czy na jednej z niemieckich plaż wysypano głazy, żeby ludzie nie zarażali się koronawirusem?",Fake News,"Usypywanie kamiennego wału wokół zbiornika wodnego Biesdorfer Baggersee nie ma nic wspólnego z koronawirusem. Zbiornik ten o powierzchni 7,6 ha dawna żwirownia, która po zamknięciu stopniowo wypełniał..."
474,"Czy włoskie badania toksykologiczne wykazały, że wszystkie szczepionki dopuszczone w Europie zawierają tak trujące substancje, że nie powinny być podawane?",Fake News,"Rzeczywiście dr Antonietta Gatti i dr Stefano Montanari przeprowadzili analizę 44 szczepionek stosowanych w Europie. Na jej podstawie uznali, że szczepionki zawierają toksyczne metale. Jednak przyjętą..."
475,"Czy przyczyną wzrostu liczby zgonów, które przypisuje się Covid-19, jest podkręcenie promieniowania elektromagnetycznego 4G, 5G, WiFi i telewizji?",Fake News,"Wzrostu liczby zgonów na koronawirusa nie można wytłumaczyć „podkręceniem promieniowania elektromagnetycznego”. Poziom natężenia pola elektromagnetycznego jest na bieżąco monitorowany, a wartości tyc..."
476,Czy Szwajcaria nie zatwierdziła szczepionek na Covid-19?,Fake News,"Wpis opublikowany 21 maja w serwisie społecznościowym Twitter informujący o tym, że Szwajcaria nie zatwierdziła szczepionek na koronawirusa zawiera nieprawdziwe informacje. Szwajcarski Urząd ds. rej..."
477,"Czy zgony poszczepienne są tak powszechne, że statystyczny Polak widzi, jak dookoła umierają ludzie lub że szczepienia mają bardzo poważne skutki uboczne?",Fake News,"Autor zgłoszonego wpisu na Twitterze twierdzi, że „statystyczny Polak widzi, że od tej <wspaniałej> szczepionki umierają ludzie dookoła, lub mają bardzo poważne skutki uboczne”. To nieprawda. Zgony, ..."
478,Czy zaszczepieni na Covid-19 zarażają swoje zwierzaki białkiem kolca i te umierają?,Fake News,"Jest to ewidentna dezinformacja. Szczepionki przeciwko koronawirusowi nie są zakaźne i dotyczy to zarówno ludzi, jak i zwierząt domowych. Amerykańskie Centers for Disease Control (CDC) wyjaśniają, ż..."
479,Czy ozdrowieńcy po szczepieniu na Covid-19 nie mogą oddawać osocza?,Fake News,"Nie jest prawdą, że zaszczepieni ozdrowieńcy nie mogą oddawać swojego osocza w celach leczniczych. Jednak, zanim zostanie się dawcą, musi upłynąć określony czas od szczepienia. W Polsce, w przypadku s..."
480,Czy świadectwo szczepienia jest czymś dotąd w świecie niespotykanym?,Fake News,"Według zgłoszonego do weryfikacji tekstu z portalu zmianynaziemi.pl, zapowiadane na czerwiec przez Unię wprowadzenie świadectw szczepień przeciwko koronawirusowi to zjawisko w polityce zdrowotnej pańs..."
481,"Czy przez Ukrainę płynie tak dużo rosyjskiego gazu, że nie da się go zastąpić rurociągiem Nord Stream 2 i istniejącym Nord Stream 1?",Fake News,"Ze zgłoszonego tekstu z portalu Russia Today wynika, że Rosja wcale nie chce, aby Nord Stream 2 zastąpił przesył rosyjskiego gazu przez Ukrainę, ponieważ „bałtycka rura” nie ma nawet odpowiedniej prze..."
482,"Czy Wielka Brytania wyszła z UE tuż przed pandemią, żeby nie podlegać kontroli wspólnoty, czym szczepi swoich obywateli?",Fake News,"Wbrew tezie postawionej w zgłoszonym tekście z portalu zdp.org.pl, opuszczenie przez Wielką Brytanię Unii Europejskiej nie miało nic wspólnego ani z pandemią koronawirusa ani tym bardziej ze szczepien..."
483,"Czy szczepionki Pfizer, Moderna i Astra Zeneca zawierają składnik SM-102 niedopuszczony do celów medycznych ani weterynaryjnych?",Fake News,"Szczepionki firm Pfizer/BionNTech oraz AstraZeneca nie mają w swoim składzie nanocząsteczek lipidowych o nazwie SM-102. Znajdują się one wyłącznie w szczepionce Moderny i, wbrew temu, co sugeruje treś..."
484,"Czy badanie na 10 mln osób przeprowadzone w Wuhan wykazało, że chorzy na Covid-19 bezobjawowo nie zarażają?",Fake News,"Stwierdzenie, że badanie wykazało, iż chorzy bezobjawowo nie zarażają, jest bardzo na wyrost. Naukowcy, którzy je przeprowadzili, powiedzieli, że ich odkrycia nie wykazały, że wirus nie może być przen..."
485,Czy można leczyć Covid-19 olejkiem z tymianku?,Fake News,"Fake news. Niektóre wyciągi z roślin, w tym olejek z tymianku, działają kojąco, ale nie ma to nic wspólnego z leczeniem choroby. Prawdą jest, że istnieją rośliny, których aktywność prozdrowotna pozwal..."
486,"Czy szczepionki zawierają metale, które przyciągają magnes?",Fake News,"W zgłoszonym artykule możemy przeczytać, że szczepionki przeciw COVID-19 zawierają superparamagnetyczne nanocząstki tlenku żelaza. Dzięki nim miejsce zaszczepienia ma przyciągać magnes. Ma to udowadni..."
487,"Czy rząd zataja, co się stało z rezerwami złota sprowadzonymi do Polski z Londynu w 2019 r.?",Fake News,"Informacje o stanie rezerw złota są jawne, a głos w sprawie zabrały niedawno i Ministerstwo Finansów, i Narodowy Bank Polski. „Rząd odmawia odpowiedzi, co się stało z polskim złotem sprowadzonym do P..."
488,Czy szczepienie dzieci na Covid-19 naraża je na ryzyko wystąpienia małopłytkowości zakrzepowej?,Fake News,"To fake news. Nie ma żadnych dowodów, że szczepienie dzieci prowadzi do małopłytkowości czy zwiększa ryzyko zdarzeń zakrzepowo-zatorowych. Zdarzeń takich nie stwierdzono w badaniach klinicznych szczep..."
489,"Czy nie szuka się leku na Covid-19, bo są szczepionki?",Fake News,"Od początku pandemii trwały poszukiwania środka, który łagodziłby przebieg Covid-19 – najpierw wśród już dostępnych preparatów, ale ruszyły też prace nad nowym specyfikiem. Europejska Agencja Leków in..."
490,Czy Rosjanie emitowali wiązki promieniowania elektromagnetycznego na ambasadę amerykańską w Moskwie?,Prawda,"Nie ma żadnych wątpliwości, że w czasach zimnej wojny Rosjanie zainstalowali specjalną aparaturę w pobliżu ambasady amerykańskiej w Moskwie. Aparatura ta przez co najmniej kilkanaście lat emitowała wi..."
491,"Czy przy zapaleniu płuc wywołanym czy to przez grypę, czy Covid-19, nie podaje się antybiotyków?",Fake News,"Twierdzenie zawarte we wpisie opublikowanym w serwisie społecznościowym Twitter, że pacjentom z bakteryjnym zapaleniem płuc wywołanym grypą nie podaje się antybiotyków, jest niezgodne ze stanem faktyc..."
492,Czy spadek liczby zakażeń nie ma żadnego związku ze szczepieniami?,Fake News,"Eksperci są zgodni, że rosnąca liczba osób zaszczepianych w Polsce ma wpływ na spadek zakażeń koronawirusem w naszych kraju. Jeden z użytkowników Twittera przekonuje, że „spadek liczby dziennych zak..."
493,Czy Światowa Organizacja Zdrowia usiłuje przeforsować wprowadzenie niekończących się lockdownów?,Fake News,"Autor zgłoszonego artykułu twierdzi że Niezależny Panel, który został powołany przez Dyrektora Generalnego Światowej Organizacji Zdrowia chce rygorystycznych blokad, w każdym kraju, kiedy tylko rządow..."
494,Czy szwedzki eksperyment polegający na niewprowadzaniu lockdownu nie powiódł się?,Prawda,"Autor zgłoszonego tekstu z portalu noahpinion.substack.com stawia tezę, że brak lockdownu w Szwecji nie uratował gospodarki tego kraju przed spadkami. I trzeba się z tym zgodzić. Szwedzki eksperyment ..."
495,"Czy jedzenie jabłek, w które przez kilka godzin były wbite żelazne gwoździe, to skuteczny sposób leczenia anemii i suplementacji żelaza w ciąży?",Fake News,"W zgłoszonym wideo Barbara Kazana twierdzi, że jedzenie jabłek, w których przez kilka godzin tkwiły gwoździe to skuteczna forma suplementacji żelaza. Zaleca to kobietom w ciąży. To jednak niebezpieczn..."
496,Czy w przypadku osób z niektórymi chorobami autoimmunologicznymi szczepionka na Covid-19 może być mniej skuteczna?,Prawda,"Tak, szczepionki na COVID-19 w przypadku osób cierpiących na niektóre choroby autoimmunologiczne mogą mieć obniżoną skuteczność. Brytyjskie wytyczne dot. przeciwdziałania chorobom zakaźnym opisują p..."
497,Czy trwają prace nad kombinowaną szczepionką na Covid-19 i grypę sezonową?,Fake News,"Według zgłoszonego tekstu z portalu bibula.com magazyn „Politico” podaje, że ze względu na zapowiedź „wyjątkowo brutalnego” sezonu grypowego 2021-2022 „firmy farmaceutyczne już opracowują kombinowane ..."
498,Czy mRNA wywołuje zmiany powodujące raka?,Fake News,"Ze zgłoszonego artykułu możemy się dowiedzieć, że mRNA samo w sobie powoduje raka. Autor powołuje się na badania Memorial Sloan Kettering Cancer Center. To nieprawda. Artykuł sugeruje, że mRNA używa..."
499,"Czy choroby autoimmunologiczne nie istnieją, bo to tylko odpowiedź organizmu na infekcje bakteryjne lub grzybicze?",Fake News,"W materiale źródłowym stanowiącym podstawę dla zgłoszenia pada stwierdzenie, że choroby autoimmunologiczne jako takie nie istnieją, gdyż winne wszystkiemu są infekcje bakteryjne i grzybicze, a dodatko..."
500,Czy pole elektromagnetyczne generowane przez maszty 5G może mieć szkodliwy wpływ na ujęcia wody pitnej??,Fake News,"Nie ma badań potwierdzających negatywny wpływ pola elektromagnetycznego na ujęcia wody pitnej. Zdaniem prof. Sławomira Hausmana, hipoteza, że maszty telefonii komórkowej szkodzą ujęciom wód jest absur..."
501,Czy Rosja po wybuchu pandemii zastosowała jedynie łagodną blokadę i jako pierwsza wprowadziła na rynek własną szczepionkę przeciw COVID-19?,Fake News,"Nie jest prawdą, że Rosja po wybuchu pandemii koronawirusa wprowadziła jedynie łagodną blokadę. Wystarczy wspomnieć obostrzenia towarzyszące kolejnym falom pandemii COVID-19 wiosną i jesienią 2020 rok..."
502,Czy w Portugalii ustanowiono prawo umożliwiające odbieranie ludziom nieruchomości w celu odbudowy gospodarki po pandemii Covid-19?,Prawda,"Rzeczywiście na początku stycznia 2021 r. rząd Portugalii uchwalił przepisy, na podstawie których państwo będzie mogło wywłaszczyć obywateli w sytuacji wyższej konieczności związanej z planem odbudowy..."
503,Czy w USA nastąpił wzrost zgonów po szczepieniu na Covid-19 na poziomie 4000 procent?,Fake News,"Nie, to nieprawda, że szczepienia przeciw COVID-19 spowodowały śmierć tysięcy ludzi. W zgłoszonym tekście znalazły się nieprawdziwe dane, a na dodatek manipulacja nimi odbywa się na dwóch poziomach. ..."
504,"Czy dyrektor medyczny koncernu Moderna przyznał, że mRNA zmienia DNA człowieka?",Fake News,"Ze zgłoszonego tekstu, opublikowanego na portalu klubinteligencjipolskiej.pl, dowiadujemy się, że Tal Zaks, dyrektor medyczny Moderny w 2017 roku przyznał, że mRNA zmienia DNA człowieka. Zgłoszony ar..."
505,"Czy Polska nie przystąpiła do unijnych testów paszportów szczepionkowych, bo PiS nie chce, żeby Polacy wyjeżdżali za granicę?",Fake News,"Nie jest prawdą, że Polska nie uczestniczy w testach europejskiego systemu informatycznego, który umożliwi Polakom swobodne podróżowanie. Testy tego narzędzia (które ma przyjąć postać aplikacji na tel..."
506,Czy mieszkańcy Białegostoku nie chcą się szczepić?,Fake News,"Zawarte w zgłoszonym do weryfikacji materiale stwierdzenie, że w Białymstoku ludzie nie chcą się szczepić, nie znajduje potwierdzenia w faktach. Świadczą o tym dobitnie oficjalne dane dotyczące szczep..."
507,Czy spis powszechny ma służyć przygotowaniu do przejęcia mienia Polaków przez Izrael po pandemii?,Fake News,"Trwający w Polsce spis powszechny nie jest przygotowaniem do przejęcia mienia Polaków przez Izrael. Spis to badanie, którego celem jest zebranie informacji o stanie ludności i strukturze społeczeństwa..."
508,Czy lockdowny zwiększyły liczbę zakażeń COVID-19?,Fake News,"W zgłoszonym tekście z 11 maja br., opublikowanym na portalu wolnemedia.net, czytamy, że według nowych badań przeprowadzonych na Uniwersytecie w Chicago „lockdown przyczynił się do zwiększonej liczby ..."
509,Czy w wyniku szczepienia na Covid-19 zmarło 2-letnie dziecko?,Fake News,"Informacja, jakoby po szczepieniu przeciwko COVID-19 zmarła 2-letnia dziewczynka z Wirginii, nie znajduje potwierdzenia w faktach. Tekst, w którym zawarto twierdzenie o śmierci dziecka został opubliko..."
510,Czy przez szczepionkę przeciwko COVID-19 można się zarazić półpaścem?,Fake News,"Przyjęcie szczepionki przeciwko COVID-19 nie skutkuje zarażeniem się półpaścem. Jednak prawdą jest, że izraelscy naukowcy zauważyli, iż u garstki zaszczepionych pacjentów cierpiących na autoimmunologi..."
511,"Czy „covidowa"" utrata węchu to skutek przeprowadzenia testu PCR?",Fake News,"Utrata węchu nie jest skutkiem przeprowadzenia testu PCR na obecność koronawirusa, ale jednym z objawów choroby COVID-19 przez niego wywoływanej. Chorzy, którzy doznają utraty węchu, nie chorują zat..."
512,"Czy ""Bild"" prowadzi kampanię dezinformacyjną, mającą na celu niedopuszczenie szczepionki Sputnik V na rynek niemiecki?",Fake News,"W zgłoszonej publikacji Sputnika pojawia się twierdzenie, że niemiecki „Bild” informujący o martwym punkcie w negocjacjach na temat kupna rosyjskiej szczepionki przeciwko Covid-19 przez Niemcy, rozpow..."
513,Czy oznaczenia na elementach stacji bazowych dowodzą związku między 5G a pandemią koronawirusa?,Fake News,Technologia 5G nie ma żadnego związku z pandemią koronawirusa. Komponent zaprezentowany na zdjęciu nie jest elementem stacji bazowej dla technologii 5G. To płyta główna pochodząca z dekodera do odbior...
514,"Czy odkwaszenie organizmu, jego natlenienie oraz suplementacja chlorofilem i wapniem pozwala wyleczyć każdy nowotwór w 2-16 tygodni?",Fake News,"To nieprawda, że każdy nowotwór można wyleczyć w ciągu 2-16 tygodni dzięki „dotlenieniu” i „odkwaszeniu” organizmu, piciu soków bogatych w chlorofil oraz suplementacji składników mineralnych (m.in. wa..."
515,"Czy podniesiono limity promieniowania, żeby osłabić odporność i wspomóc wirusa Sars-CoV-2?",Fake News,"To nieprawda. Dopuszczalne poziomy pola elektromagnetycznego (PEM) w Polsce zostały zharmonizowane z zaleceniem Rady Europejskiej z dniem 1 stycznia 2020 roku, podczas gdy Światowa Organizacja Zdrowia..."
516,Czy używanie smartwatchów jest szkodliwe dla zdrowia?,Fake News,"Twierdzenie jakoby używanie inteligentnych zegarków było szkodliwe dla zdrowia ze względu na promieniowanie emitowane przez to urządzenie, nie ma pokrycia w faktach. Smartwatche, podobnie jak smart..."
517,Czy jedyna różnica między Covid-19 a grypą to ewentualne zapalenie spojówek oraz utrata węchu i smaku?,Fake News,"Zarówno COVID-19, jak i grypa to choroby zakaźne i jest między nimi dużo podobieństw. Jednak wywołują je różne wirusy i wspomniane objawy, takie jak zapalenie spojówek oraz utrata węchu i smaku, to ni..."
518,Czy australijski dyrektor ds. zdrowia określił na rządowej stronie szczepionkę na COVID-19 mianem trucizny?,Fake News,Australijski dyrektor ds. zdrowia nie określił na rządowej stronie szczepionki na COVID-19 mianem trucizny. Powiązanie szczepionek przeciw COVID-19 z trucizną zostało w tym wypadku wyjęte z kontekstu ...
519,Czy profilaktyczne badania nowotworowe przynoszą więcej szkody niż pożytku?,Fake News,"Profilaktyka zdrowotna to działania, których celem jest zapobieganie chorobom i ich konsekwencjom poprzez odpowiednio wczesne wykrywanie i leczenie. Twierdzenie, że profilaktyczne badania w kierunku w..."
520,Czy od 5 czerwca ma zostać zniesiony nakaz zakrywania ust i nosa w transporcie zbiorowym oraz urzędach czy placówkach leczniczych?,Fake News,"Ze zgłoszonego wpisu na Twitterze wynika, że 5 czerwca br. zostanie zniesiony nakaz noszenia maseczek ochronnych w transporcie publicznym i w pomieszczeniach zamkniętych. To nieprawda. W rozporządze..."
521,Czy mumio powstrzymuje rozwój raka i zapobiega przerzutom?,Fake News,"Onkolodzy zgodnie oceniają, że stosowanie mumio w prewencji i leczeniu raka nie ma podstaw naukowych. „Mumio to substancja występująca jako wydzielina naskalna, zawierająca wiele organicznych i nieo..."
522,Czy jednorazowe podanie limfocytów T pacjenta jest skuteczne w większości przypadków leczenia zaawansowanej białaczki limfoblastcznej?,Prawda,To prawda. Terapia CAR-T jest skuteczna w przypadku pacjentów z oporną na leczenie zaawansowaną białaczką limfoblastyczną. Stosuje się ją jednak w bardzo wąskiej grupie wskazań – w Polsce dotyczy ok. ...
523,"Czy to prawda, że osoby w pełni zaszczepione nie będą wliczane do limitów na imprezach takich jak wesela?",Prawda,"W zgłoszonym artykule z portalu bydgoszcz24.pl z dnia 5.05.21, z godz.13:30 czytamy, że „przy organizacji wesel zaszczepieni nie będą wliczani do limitu gości”. To prawda. Jak wynika z rozporządzenia..."
524,Czy szczepionka Sputnik V może zawierać zdolnego do replikacji adenowirusa?,Prawda,"Ze zgłoszonego wpisu na Twitterze autorstwa dr Angeli Rasmussen, wirusolog z ośrodka badawczego na waszyngtońskim Uniwersytecie Georgetown (Center for Global Health Science and Security) wynika, że ro..."
525,Czy promieniowanie 5G rujnuje układ odpornościowy?,Fake News,"Nie ma ustalonych dowodów na to, że narażenie na niskie poziomy fal radiowych z 5G i innej telekomunikacji bezprzewodowej może wpływać na układ odpornościowy lub powodować jakiekolwiek inne długotermi..."
526,Czy według naukowców MIT w pomieszczeniach maseczki i dystans nie ograniczają rozprzestrzeniania koronawirusa?,Fake News,Ze zgłoszonego Tweeta możemy się dowiedzieć że wg naukowców z Massachusetts Institute of Technology (MIT) w pomieszczeniach zamkniętych maseczki i dystans są nieskuteczne w ochronie przed zarażeniem k...
527,Czy testy na zwierzętach nie mają żadnej wartości medycznej?,Fake News,"W zgłoszonym video dr Vernon Coleman twierdzi że testowanie leków na zwierzętach jest „niepotrzebne i kompletnie bezużyteczne”. To nieprawda. Zwierzęta są wykorzystywane w badaniach, gdy nie ma inneg..."
528,"Czy testy przeprowadzone w Szczuczynie świadczą o tym, że połowa Polaków ma przeciwciała i nie trzeba ich szczepić przeciwko Covid-19?",Fake News,"Ze zgłoszonego artykułu, zamieszczonego na www.portal-polski.pl, może wynikać, że ponad połowa Polaków ma już przeciwciała i dlatego szczepienia przeciwko Covid-19 są im niepotrzebne. To nieprawda. P..."
529,"Czy boreliozę można wyleczyć ziołami, probiotykami, witaminami, dietą ketogenną i odpoczynkiem?",Fake News,"Boreliozę, jako chorobę bakteryjną można wyleczyć jedynie za pomocą odpowiednio dobranych antybiotyków. Wszelkie alternatywne terapie mogą jedynie stanowić wsparcie leczenia farmakologicznego. Lekarze..."
530,"Czy trwają prace nad dronami zapylającymi, które mogłyby zastąpić owady w tym procesie?",Prawda,"Ze zgłoszonego tekstu możemy się dowiedzieć, że trwają prace nad skonstruowaniem dronów zapylających rośliny. To prawda. W tym samym artykule czytamy również, że do opracowania tej technologii skłon..."
531,Czy witamina C leczy wszystkie choroby wirusowe?,Fake News,"W zgłoszonym tekście pojawia się informacja, że witamina C leczy m.in. wszystkie choroby wirusowe. To nieprawda. Witamina C nie chroni przed infekcjami, także jej wpływ na skrócenie trwania choroby ni..."
532,Czy dostępne obecnie szczepionki na COVID-19 są nieskuteczne przeciwko mutacjom koronawirusa?,Fake News,"Wstępne badania pokazują, że dostępne szczepionki przeciw Covid-19 działają również przeciw mutacjom koronawirusa. Warto też zauważyć, że im więcej osób zaszczepionych, tym mniej zakażonych, a to z ko..."
533,Czy w obozach dla uchodźców nie szerzył się Covid-19?,Fake News,"Nie jest prawdą, że COVID-19 nie występował w obozach dla uchodźców, jednak rzeczywiście nie spełnił się najgorszy scenariusz dotyczący spodziewanych bardzo wysokich wskaźników zachorowań. Wskaźniki t..."
534,"Czy masowy punkt szczepień w Lublinie był zamknięty, żeby można było szczepić ludzi w majówkę na pokaz?",Fake News,"Masowy punkt szczepień przeciwko Covid-19 w Lublinie, podobnie jak ponad 400 innych punktów populacyjnych, w majówkę był nieczynny ze względu na dni wolne dla personelu. Równocześnie, lubelski mobilny..."
535,"Czy Ukraińcy nie wjadą do krajów Unii Europejskiej, jeśli nie będą zaszczepieni preparatami dopuszczonymi w UE?",Fake News,"W zgłoszonym tekście możemy przeczytać o faktycznym zniesieniu ruchu bezwizowego dla obywateli Ukrainy. To manipulacja mająca w dodatku sugerować jakieś szczególne, w dodatku dyskryminujące traktowani..."
536,Czy Rada Miejska Wałbrzycha wprowadziła obowiązek szczepień na COVID-19 dla mieszkańców i osób pracujących na terenie miasta?,Fake News,"Nie jest prawdą, że uchwalenie przez Radę Miasta w Wałbrzychu obowiązku szczepienia dla mieszkańców i pracujących na jego terenie osób wprowadza obowiązek szczepień przeciwko COVID-19. „Podjęta w Wał..."
537,"Czy między nadajnikami 5G i szczepionkami na COVID-19 istnieje synergia, która ma mieć katastrofalne skutki dla zdrowia?",Fake News,"Twierdzenie zawarte w materiale źródłowym, jakoby łączność w standardzie 5G była odpowiedzialna za szerzenie się koronawirusa, to znana teoria spiskowa, która cyrkuluje w internecie od początku pandem..."
538,Czy sytuacja pandemiczna w Indiach to medialna ściema?,Fake News,"Od kilku tygodni sytuacja epidemiczna w Indiach jest bardzo zła, a według niektórych ekspertów wręcz dramatyczna. Potwierdzają to zarówno dane dotyczące liczby zakażeń i zgonów, ale też relacje mieszk..."
539,Czy ponad połowę nowych przypadków COVID-19 stanowią osoby zaszczepione?,Fake News,"W zgłoszonym materiale dr Harvey Risch twierdzi, że ponad połowa nowych przypadków COVID-19 to ludzie zaszczepieni. To nieprawda. W rzeczywistości amerykańskie CDC, po zaszczepieniu ponad 87 milionów..."
540,"Czy preparaty mRNA są groźne nie tylko dla tych, którym się je poda, lecz również dla osób z ich otoczenia?",Fake News,"W zgłoszonym wideo Lawrence Palevsky opowiada o produkowaniu przez zaszczepionych na COVID-19 białka wirusa, którym zarażają bliskich powodując bezpłodność, krzepnięcie krwi i siniaki. To nieprawda. T..."
541,"Czy rząd zamierza zmusić Polaków do szczepień za pomocą represji, pomimo że „cały czas powstają” leki na covid?",Fake News,"Twierdzenia autora publikacji w portalu zmianynaziemi.pl, że rząd zamierza zmusić Polaków do szczepień przeciwko COVID-19 są nieuzasadnione. Szczepienia są w Polsce dobrowolne. Są też świadczeniami ..."
542,Czy decyzja Brazylii o zablokowaniu importu rosyjskiej szczepionki Sputnik V miała charakter polityczny?,Fake News,"W zgłoszonym do weryfikacji artykule pochodzącym z portalu news-front.info jest zawarta sugestia, że rezygnacja brazylijskich władz z importu rosyjskiej szczepionki Sputnik V była decyzją polityczną. ..."
543,Czy Episkopat straszy „niemoralnością” szczepionek?,Fake News,"Autor zgłoszonego wpisu na Twitterze twierdzi, że Episkopat Polski „straszy niemoralnością szczepionek” i ocenia, że z tego powodu mniej Polaków się szczepi. To manipulacja. Polscy biskupi nie stras..."
544,"Czy książka o pandemii, którą promuje Justyna Steczkowska, została ocenzurowana?",Fake News,"Stwierdzenie, że „Justyna Steczkowska włącza się do walki z reżimem promując ocenzurowaną książkę” zawiera manipulację. Książka „Pandemia kłamstw”, o której artystka opowiada na swoim profilu społec..."
545,"Czy stałe przyjmowanie aspiryny może zmniejszyć ryzyko zachorowania na Covid-19 o 30 proc., a ryzyko zgonu - o 47?",Prawda,"Najnowsze badania przeprowadzone przez izraelskich naukowców rzeczywiście wskazują, że przyjmowanie niewielkich dawek aspiryny zmniejsza ryzyko zakażenia się koronawirusem o 29 proc. Natomiast analizy..."
546,Czy sygnał z routera Wi-Fi blokuje wzrost roślin?,Fake News,"Nie zostały przeprowadzone żadne miarodajne, przeprowadzone w kontrolowanych warunkach laboratoryjnych badania naukowe, które potwierdzałyby wyniki eksperymentu mówiące o szkodliwym wpływie sygnału z ..."
547,"Czy zataja się fakt, że migrenę można skutecznie leczyć witaminą B2?",Fake News,"Ryboflawina, czyli witamina B2, w dawce 400 mg dziennie jest zalecana przez towarzystwa medyczne jako jeden ze środków zapobiegających migrenie, zatem nie jest prawdą, że tego rodzaju opcja terapeutyc..."
548,"Czy już wiadomo, że lek na Covid-19 trafi na rynek jeszcze w tym roku?",Fake News,"Z tytułu zgłoszonego tekstu dowiadujemy się, że powstał lek na COVID-19 i wiadomo, kiedy będzie można go kupić. To nieprawda. Prawdą jest, że firma Pfizer ogłosiła, że pracuje nad takim specyfikiem. ..."
549,"Czy porażką rządu jest to, że w Polsce wykryto fałszywe szczepionki?",Fake News,"Podrobione szczepionki zostały w Polsce wykryte, zanim trafiły do obiegu, co dowodzi skuteczności zastosowanego przez państwo systemu dystrybucji szczepionek. „Szokująca porażka rządu: w Polsce wykry..."
550,Czy trwają prace nad uniwersalną szczepionką przeciwko różnym koronawirusom?,Prawda,"Ze zgłoszonego tweeta dowiadujemy się, że trwają prace nad uniwersalną szczepionką przeciwko różnym koronawirusom. To prawda. Eksperymentalna szczepionka przeciwko COVID-19 może potencjalnie zapewnić..."
551,Czy szczepionki mRNA mogą wywoływać Alzheimera i inne choroby neurodegradacyjne?,Fake News,"Ze zgłoszonej pracy możemy się dowiedzieć, że szczepionki przeciw COVID-19 mogą powodować choroby prionowe lub inne choroby neurodegeneracyjne, takie jak choroba Alzheimera. To nieprawda. Choroby pri..."
552,"Czy w maseczkach, nawet tych fabrycznie nowych, żyją robaki?",Fake News,"Ze zgłoszonego tekstu z portalu klubinteligencjipolskiej.pl dowiadujemy się, że w fabrycznie zapakowanych maseczkach ochronnych żyją czarne robaki. Zgłoszony tekst powołuje się na wypowiedź brytyjskie..."
553,"Czy organizm człowieka sam się wyleczy, gdy tylko stworzy mu się odpowiednie warunki i przestanie robić to, co spowodowało chorobę?",Fake News,"Zgłoszony do weryfikacji materiał sugeruje, że wszystkie choroby są spowodowane czynnikami od nas zależnymi, a więc takimi, na które mamy wpływ - w tym zwłaszcza naszym zachowaniem. Niestety, w prakty..."
554,Czy plastikowe okna są szkodliwe dla zdrowia?,Fake News,"To nieprawda, że plastikowe okna są szkodliwe dla zdrowia. Warto pamiętać, że przed dopuszczeniem do sprzedaży wszystkie okna plastikowe przechodzą szczegółowe kontrole i uzyskują atesty, m.in. Polski..."
555,"Czy kampania szczepień przebiegałaby szybciej gdyby nie fakt, że rząd zrezygnował z 15 mln dawek?",Fake News,"W zgłoszonym wpisie z Twittera czytamy, że rząd zrezygnował z 15 mln dawek szczepionek, ponieważ uznał, że są one niepotrzebne i właśnie z tego powodu akcja szczepień nie idzie dość szybko. To manipul..."
556,"Czy szczepionki są tak zaprojektowane, żeby powodowały bezpłodność i wywoływały patogeny raka?",Fake News,"To nieprawda. Szczepionki przeciw Covid-19 nie są zaprojektowane w taki sposób, żeby powodować bezpłodność i wywoływać patogeny raka – twierdzą uznani specjaliści medyczni. Informacje w treści zgłoszo..."
557,"Czy minister Niedzielski twierdzi, iż nadmiar zgonów „to nie wina złego zarządzania służbą zdrowia, lecz alkohol, palenie, uwarunkowania genetyczne i nieuprawianie sportu”?",Fake News,"Nie, w wywiadzie z Beatą Lubecką minister zdrowia Adam Niedzielski wskazał, iż kwestia zgonów to sprawa wielowymiarowa i nie jest ona związana tylko i wyłącznie z niewydolnością systemu opieki zdrowot..."
558,Czy w wyniku awarii reaktora w Czarnobylu umarły setki osób?,Fake News,"W wyniku awarii reaktora nie umarły ani setki, ani tysiące osób. Nie jest też prawdą, że spowodowała malformacje płodów. Niektórzy naukowcy podnoszą, że najpoważniejszym skutkiem zdrowotnym awarii rea..."
559,Czy minister zdrowia zakazał stosowania amantadyny w leczeniu COVID-19?,Fake News,"Nie znamy jeszcze wyników pierwszych badań klinicznych dotyczących skuteczności amantadyny w leczeniu osób zakażonych koronawirusem. Nieprawdą jest natomiast, że stosowanie leku zostało w Polsce zakaz..."
560,Czy działa połączenie pasażerskie LOT z Indii do Polski mimo szczytu pandemii?,Fake News,"Twierdzenie ze zgłoszonego wpisu na Twitterze, że pomimo setek tysięcy zakażeń w Indiach LOT lata tam „bez zmian” nie ma poparcia w faktach. Nie odbywają się loty pasażerskie do Indii, a jedynie loty ..."
